#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000155225.1	PRJNA29329	SAMN02595227	ABOV00000000.1	na	520140	1773	Mycobacterium tuberculosis EAS054	strain=EAS054		latest	Scaffold	Major	Full	2008/06/06	ASM15522v1	Broad Institute	GCF_000155225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/225/GCA_000155225.1_ASM15522v1	many frameshifted proteins	
GCA_000155245.1	PRJNA29327	SAMN02595228	ABOW00000000.1	na	520141	1773	Mycobacterium tuberculosis T85	strain=T85		latest	Scaffold	Major	Full	2008/06/06	ASM15524v1	Broad Institute	GCF_000155245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/245/GCA_000155245.1_ASM15524v1	many frameshifted proteins	
GCA_000155285.1	PRJNA30015	SAMN02595229	ABQG00000000.1	na	537209	1773	Mycobacterium tuberculosis GM 1503	strain=GM 1503		latest	Scaffold	Major	Full	2008/07/01	ASM15528v1	Broad Institute	GCF_000155285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/285/GCA_000155285.1_ASM15528v1	many frameshifted proteins	
GCA_000155305.1	PRJNA30017	SAMN02595230	ABQH00000000.1	na	537210	1773	Mycobacterium tuberculosis T17	strain=T17		latest	Scaffold	Major	Full	2008/07/01	ASM15530v1	Broad Institute	GCF_000155305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/305/GCA_000155305.1_ASM15530v1	many frameshifted proteins	
GCA_000155795.1	PRJNA30979	SAMN02595232	ABVM00000000.1	na	555461	1773	Mycobacterium tuberculosis '98-R604 INH-RIF-EM'	strain=98-R604 INH-RIF-EM		latest	Scaffold	Major	Full	2009/01/26	ASM15579v1	Broad Institute	GCF_000155795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/795/GCA_000155795.1_ASM15579v1		
GCA_000159735.1	PRJNA34551	SAMN02595305	ACHO00000000.1	na	611302	1773	Mycobacterium tuberculosis T46	strain=T46		latest	Scaffold	Major	Full	2009/04/01	ASM15973v1	Broad Institute	GCF_000159735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/735/GCA_000159735.1_ASM15973v1	many frameshifted proteins	
GCA_000159755.1	PRJNA34553	SAMN02595306	ACHP00000000.1	na	611303	1773	Mycobacterium tuberculosis CPHL_A	strain=CPHL_A		latest	Scaffold	Major	Full	2009/04/01	ASM15975v1	Broad Institute	GCF_000159755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/755/GCA_000159755.1_ASM15975v1		
GCA_000159775.1	PRJNA34555	SAMN02595307	ACHQ00000000.1	na	611304	1773	Mycobacterium tuberculosis variant africanum K85	strain=K85		latest	Scaffold	Major	Full	2009/04/01	ASM15977v1	Broad Institute	GCF_000159775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/775/GCA_000159775.1_ASM15977v1		
GCA_000162975.1	PRJNA39761	SAMN02471107	ACVS00000000.2	na	478433	1773	Mycobacterium tuberculosis KZN 4207	strain=KZN 4207		latest	Chromosome	Major	Full	2010/06/04	ASM16297v1	Texas A&M University	GCF_000162975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/975/GCA_000162975.1_ASM16297v1		
GCA_000162995.1	PRJNA39765	SAMN02471090	ACVT00000000.2	na	663887	1773	Mycobacterium tuberculosis KZN V2475	strain=KZN V2475		latest	Chromosome	Major	Full	2010/06/08	ASM16299v1	Texas A&M University	GCF_000162995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/995/GCA_000162995.1_ASM16299v1		
GCA_000163015.1	PRJNA39767	SAMN02471040	ACVU00000000.2	na	663886	1773	Mycobacterium tuberculosis KZN R506	strain=KZN R506		latest	Chromosome	Major	Full	2010/06/08	ASM16301v1	Texas A&M University	GCF_000163015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/015/GCA_000163015.1_ASM16301v1		
GCA_000165695.1	PRJNA43605	SAMN02595381	ADHR00000000.1	na	675513	1773	Mycobacterium tuberculosis SUMu002	strain=SUMu002		latest	Scaffold	Major	Full	2010/11/24	ASM16569v1	Broad Institute	GCF_000165695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/695/GCA_000165695.1_ASM16569v1		
GCA_000169515.1	PRJNA18649	SAMN02469331	AAYK00000000.1	na	419947	1773	Mycobacterium tuberculosis H37Ra	strain=H37Ra		latest	Contig	Major	Full	2007/03/19	ASM16951v1	Beijing Genomics Institute	GCF_000169515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/515/GCA_000169515.1_ASM16951v1	many frameshifted proteins	
GCA_000176315.1	PRJNA273	SAMN00010968	ADAB00000000.1	na	164513	1773	Mycobacterium tuberculosis 210	strain=210		latest	Contig	Major	Full	2009/10/20	ASM17631v1	TIGR	GCF_000176315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/315/GCA_000176315.1_ASM17631v1	many frameshifted proteins	
GCA_000177795.2	PRJNA43607	SAMN02595382	ADHS00000000.1	na	675514	1773	Mycobacterium tuberculosis SUMu003	strain=SUMu003		latest	Scaffold	Major	Full	2010/11/28	ASM17779v2	Broad Institute	GCF_000177795.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/795/GCA_000177795.2_ASM17779v2		
GCA_000177815.2	PRJNA43609	SAMN02595383	ADHT00000000.1	na	675515	1773	Mycobacterium tuberculosis SUMu004	strain=SUMu004		latest	Scaffold	Major	Full	2010/11/30	ASM17781v2	Broad Institute	GCF_000177815.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/815/GCA_000177815.2_ASM17781v2		
GCA_000177835.2	PRJNA43611	SAMN02595384	ADHU00000000.1	na	675516	1773	Mycobacterium tuberculosis SUMu005	strain=SUMu005		latest	Scaffold	Major	Full	2010/11/30	ASM17783v2	Broad Institute	GCF_000177835.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/835/GCA_000177835.2_ASM17783v2		
GCA_000177855.2	PRJNA43613	SAMN02595385	ADHV00000000.1	na	675517	1773	Mycobacterium tuberculosis SUMu006	strain=SUMu006		latest	Scaffold	Major	Full	2010/11/30	ASM17785v2	Broad Institute	GCF_000177855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/855/GCA_000177855.2_ASM17785v2		
GCA_000177875.2	PRJNA43615	SAMN02595386	ADHW00000000.1	na	675518	1773	Mycobacterium tuberculosis SUMu007	strain=SUMu007		latest	Scaffold	Major	Full	2010/11/30	ASM17787v2	Broad Institute	GCF_000177875.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/875/GCA_000177875.2_ASM17787v2		
GCA_000177895.2	PRJNA43617	SAMN02595387	ADHX00000000.1	na	675519	1773	Mycobacterium tuberculosis SUMu008	strain=SUMu008		latest	Scaffold	Major	Full	2010/11/30	ASM17789v2	Broad Institute	GCF_000177895.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/895/GCA_000177895.2_ASM17789v2		
GCA_000177915.2	PRJNA43619	SAMN02595388	ADHY00000000.1	na	675520	1773	Mycobacterium tuberculosis SUMu009	strain=SUMu009		latest	Scaffold	Major	Full	2010/11/30	ASM17791v2	Broad Institute	GCF_000177915.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/915/GCA_000177915.2_ASM17791v2		
GCA_000177935.2	PRJNA43621	SAMN02595389	ADHZ00000000.1	na	675521	1773	Mycobacterium tuberculosis SUMu010	strain=SUMu010		latest	Scaffold	Major	Full	2010/11/30	ASM17793v2	Broad Institute	GCF_000177935.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/935/GCA_000177935.2_ASM17793v2		
GCA_000177955.2	PRJNA43623	SAMN02595390	ADIA00000000.1	na	675522	1773	Mycobacterium tuberculosis SUMu011	strain=SUMu011		latest	Scaffold	Major	Full	2010/11/30	ASM17795v2	Broad Institute	GCF_000177955.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/955/GCA_000177955.2_ASM17795v2		
GCA_000177975.2	PRJNA43625	SAMN02595391	ADIB00000000.1	na	675523	1773	Mycobacterium tuberculosis SUMu012	strain=SUMu012		latest	Scaffold	Major	Full	2010/11/30	ASM17797v2	Broad Institute	GCF_000177975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/975/GCA_000177975.2_ASM17797v2	many frameshifted proteins	
GCA_000184005.1	PRJNA46665	SAMN02471088	ADNF00000000.1	na	747367	1773	Mycobacterium tuberculosis HN878	strain=HN878		latest	Chromosome	Major	Full	2010/12/14	ASM18400v1	Texas A&M University	GCF_000184005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/005/GCA_000184005.1_ASM18400v1		
GCA_000184025.1	PRJNA46667	SAMN02471089	ADNG00000000.1	na	747368	1773	Mycobacterium tuberculosis X122	strain=X122		latest	Chromosome	Major	Full	2010/12/14	ASM18402v1	Texas A&M University	GCF_000184025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/025/GCA_000184025.1_ASM18402v1		
GCA_000184045.1	PRJNA46669	SAMN02471041	ADNH00000000.1	na	747369	1773	Mycobacterium tuberculosis R1207	strain=R1207		latest	Chromosome	Major	Full	2010/12/14	ASM18404v1	Texas A&M University	GCF_000184045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/045/GCA_000184045.1_ASM18404v1		
GCA_000190335.1	PRJNA59573	SAMN02596696	AELF00000000.1	na	911237	1773	Mycobacterium tuberculosis CDC1551A	strain=CDC1551A		latest	Scaffold	Major	Full	2011/02/23	MT_CDC1551A_V1	Broad Institute	GCF_000190335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/335/GCA_000190335.1_MT_CDC1551A_V1		
GCA_000193185.2	PRJNA39283	SAMN02595346		na	659019	1773	Mycobacterium tuberculosis W-148	strain=W-148		latest	Complete Genome	Major	Full	2015/08/19	ASM19318v2	Broad Institute	GCF_000193185.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/185/GCA_000193185.2_ASM19318v2		
GCA_000194015.2	PRJNA63833	SAMN00771606	AEZE00000000.1	na	998089	1773	Mycobacterium tuberculosis variant bovis BCG str. China	strain=China		latest	Contig	Major	Full	2011/03/28	ASM19401v2	Microbial Genome Research Center, CASPMI, IM-CAS	GCF_000194015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/015/GCA_000194015.2_ASM19401v2		
GCA_000194035.2	PRJNA63835	SAMN00771607	AEZF00000000.1	na	998090	1773	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35733	strain=ATCC 35733		latest	Contig	Major	Full	2011/03/28	ASM19403v2	Microbial Genome Research Center, CASPMI, IM-CAS	GCF_000194035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/035/GCA_000194035.2_ASM19403v2		
GCA_000194055.2	PRJNA63837	SAMN00771608	AEZG00000000.1	na	998091	1773	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35740	strain=ATCC 35740		latest	Contig	Major	Full	2011/03/28	ASM19405v2	Microbial Genome Research Center, CASPMI, IM-CAS	GCF_000194055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/055/GCA_000194055.2_ASM19405v2		
GCA_000194075.3	PRJNA63839	SAMN00771609		na	998092	1773	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743	strain=63839		latest	Complete Genome	Major	Full	2014/03/14	ASM19407v3	Microbial Genome Research Center, CASPMI, IM-CAS	GCF_000194075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/075/GCA_000194075.3_ASM19407v3		
GCA_000195835.2	PRJEB15187	SAMEA20450668		reference genome	233413	1773	Mycobacterium tuberculosis variant bovis AF2122/97		AF2122/97	latest	Complete Genome	Major	Full	2017/01/19	ASM19583v2	School of Veterinary Medicine	GCF_000195835.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/835/GCA_000195835.2_ASM19583v2		
GCA_000195955.2	PRJNA224	SAMEA3138326		reference genome	83332	1773	Mycobacterium tuberculosis H37Rv	strain=H37Rv		latest	Complete Genome	Major	Full	2013/02/01	ASM19595v2	Sanger Institute	GCF_000195955.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2		assembly from type material
GCA_000220415.1	PRJNA51869	SAMN02472040	AEGB00000000.1	na	882098	1773	Mycobacterium tuberculosis S96-129	strain=S96-129		latest	Chromosome	Major	Full	2011/07/12	ASM22041v1	Uppsala University, dep. of Medical Biochemistry and Microbiology	GCF_000220415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/415/GCA_000220415.1_ASM22041v1		
GCA_000220435.1	PRJNA51871	SAMN02472041	AEGC00000000.1	na	882099	1773	Mycobacterium tuberculosis BTB05-552	strain=BTB05-552		latest	Chromosome	Major	Full	2011/07/12	ASM22043v1	Uppsala University, dep. of Medical Biochemistry and Microbiology	GCF_000220435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/435/GCA_000220435.1_ASM22043v1		
GCA_000220455.1	PRJNA51873	SAMN02472033	AEGD00000000.1	na	882100	1773	Mycobacterium tuberculosis BTB05-559	strain=BTB05-559		latest	Chromosome	Major	Full	2011/07/12	ASM22045v1	Uppsala University, dep. of Medical Biochemistry and Microbiology	GCF_000220455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/455/GCA_000220455.1_ASM22045v1		
GCA_000224435.1	PRJNA43171	SAMN02603755		na	707235	1773	Mycobacterium tuberculosis CTRI-2	strain=CTRI-2		latest	Complete Genome	Major	Full	2011/08/25	ASM22443v1	Research Institute for Physical-Chemical Medicine, Moscow, Russia	GCF_000224435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/435/GCA_000224435.1_ASM22443v1		
GCA_000234725.1	PRJNA45811	SAMN02604104		na	717522	1773	Mycobacterium tuberculosis variant bovis BCG str. Mexico	strain=Mexico		latest	Complete Genome	Major	Full	2011/11/09	ASM23472v1	Universidad Nacional Autónoma de México	GCF_000234725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/725/GCA_000234725.1_ASM23472v1		
GCA_000240245.2	PRJNA78807	SAMN02469671	AHHX00000000.1	na	1126682	1773	Mycobacterium tuberculosis OSDD071	strain=OSDD071		latest	Contig	Major	Full	2011/12/28	MycTub_OSDD071	Open Source Drug Discovery	GCF_000240245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/245/GCA_000240245.2_MycTub_OSDD071		
GCA_000240265.2	PRJNA78959	SAMN02469672	AHHY00000000.1	na	1126683	1773	Mycobacterium tuberculosis OSDD504	strain=OSDD504		latest	Contig	Major	Full	2011/12/28	MycTub_OSDD504	Open Source Drug Discovery	GCF_000240265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/265/GCA_000240265.2_MycTub_OSDD504		
GCA_000240285.2	PRJNA78961	SAMN02469670	AHHZ00000000.1	na	1126684	1773	Mycobacterium tuberculosis OSDD518	strain=OSDD518		latest	Contig	Major	Full	2011/12/28	MycTub_OSDD518	Open Source Drug Discovery	GCF_000240285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/285/GCA_000240285.2_MycTub_OSDD518		
GCA_000253355.1	PRJEA68095	SAMEA2272165		na	572418	1773	Mycobacterium tuberculosis variant africanum GM041182	strain=GM041182		latest	Complete Genome	Major	Full	2011/07/05	ASM25335v1	Wellcome Trust Sanger Insititute	GCF_000253355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/355/GCA_000253355.1_ASM25335v1		
GCA_000256525.1	PRJNA43175	SAMN02470833	AIIE00000000.1	na	707237	1773	Mycobacterium tuberculosis CTRI-4	strain=CTRI-4		latest	Contig	Major	Full	2012/03/26	ASM25652v1	Research Institute for Physical-Chemical Medicine, Moscow, Russia	GCF_000256525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/256/525/GCA_000256525.1_ASM25652v1		
GCA_000263135.1	PRJNA47937	SAMN02471106	AJSF00000000.1	na	757419	1773	Mycobacterium tuberculosis H37RvCO	strain=H37RvCO		latest	Chromosome	Major	Full	2012/06/19	H37RvCO4	Texas A&M University	GCF_000263135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/135/GCA_000263135.1_H37RvCO4		
GCA_000270345.1	PRJNA19585	SAMN02603010		na	443149	1773	Mycobacterium tuberculosis CCDC5079	strain=CCDC5079		latest	Complete Genome	Major	Full	2011/07/05	ASM27034v1	Beijing Genomics institute and National Institue for Communicable Disease Control and Prevention	GCF_000270345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/345/GCA_000270345.1_ASM27034v1	many frameshifted proteins	
GCA_000270365.1	PRJNA19583	SAMN02603011		na	443150	1773	Mycobacterium tuberculosis CCDC5180	strain=CCDC5180		latest	Complete Genome	Major	Full	2011/07/05	ASM27036v1	Beijing Genomics institute and National Institue for Communicable Disease Control and Prevetion	GCF_000270365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/365/GCA_000270365.1_ASM27036v1		
GCA_000277085.1	PRJNA73717	SAMN02603736		na	1091500	1773	Mycobacterium tuberculosis RGTB327	strain=RGTB327		latest	Complete Genome	Major	Full	2012/03/20	ASM27708v1	Rajiv Gandhi Centre for Biotechnology	GCF_000277085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/085/GCA_000277085.1_ASM27708v1	many frameshifted proteins	
GCA_000277105.1	PRJNA73719	SAMN02603737		na	1091501	1773	Mycobacterium tuberculosis RGTB423	strain=RGTB423		latest	Complete Genome	Major	Full	2012/03/20	ASM27710v1	Rajiv Gandhi Centre for Biotechnology	GCF_000277105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/105/GCA_000277105.1_ASM27710v1	many frameshifted proteins	
GCA_000277735.2	PRJNA37301	SAMN03081436		na	83332	1773	Mycobacterium tuberculosis H37Rv	strain=H37Rv		latest	Complete Genome	Major	Full	2013/11/26	ASM27773v2	The Broad Institute	GCF_000277735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/735/GCA_000277735.2_ASM27773v2		assembly from type material
GCA_000291765.1	PRJDA72517	SAMD00036586	BADQ00000000.1	na	1078763	1773	Mycobacterium tuberculosis NCGM2209	strain=NCGM2209		latest	Scaffold	Major	Full	2011/11/25	ASM29176v1	National Center for Global Health and Medicine	GCF_000291765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/291/765/GCA_000291765.1_ASM29176v1		
GCA_000296155.1	PRJNA168605	SAMN02471797	ALYH00000000.1	na	1200348	1773	Mycobacterium tuberculosis NA-A0009	strain=NA-A0009		latest	Contig	Major	Full	2012/09/11	MycTubNAA0009 1.0	University of Hyderabad	GCF_000296155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/155/GCA_000296155.1_MycTubNAA0009_1.0	many frameshifted proteins	
GCA_000296175.1	PRJNA168604	SAMN02471802	ALYG00000000.1	na	1200347	1773	Mycobacterium tuberculosis NA-A0008	strain=NA-A0008		latest	Contig	Major	Full	2012/09/11	MycTubNAA0008 1.0	University of Hyderabad	GCF_000296175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/175/GCA_000296175.1_MycTubNAA0008_1.0	many frameshifted proteins	
GCA_000304555.1	PRJEA74573	SAMEA2272432		na	1097669	1773	Mycobacterium tuberculosis UT205	strain=UT205		latest	Chromosome	Major	Full	2012/02/24	Mt_UT205	CNSG, CCITB	GCF_000304555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/555/GCA_000304555.1_Mt_UT205		
GCA_000313215.2	PRJNA176960	SAMN02471862	AMXW00000000.2	na	1240677	1773	Mycobacterium tuberculosis UM 1072388579	strain=UM 1072388579		latest	Contig	Major	Full	2014/11/14	ASM31321v2	UNIVERSITY OF MALAYA	GCF_000313215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/215/GCA_000313215.2_ASM31321v2		
GCA_000331445.1	PRJEA82273	SAMEA2272730		na	1138877	1773	Mycobacterium tuberculosis 7199-99	strain=7199-99		latest	Complete Genome	Major	Full	2013/01/08	ASM33144v1	Center for Biotechnology, Bielefeld University	GCF_000331445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/445/GCA_000331445.1_ASM33144v1		
GCA_000338715.2	PRJNA170028	SAMN02603488		na	1206780	1773	Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P	strain=Korea 1168P		latest	Complete Genome	Major	Full	2013/03/08	ASM33871v2	Korean Institute of Tuberculosis	GCF_000338715.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/715/GCA_000338715.2_ASM33871v2		
